modelo;tipo_grade;N;execucao;voxel_size;nx;ny;nz;total;occupied;empty;density;t_vox;delta_rss_vox;octree_nodes;leaves_full;leaves_empty;max_depth;t_oct;delta_rss_oct;compression
Buda;Justa;100;6;1,5100;42;101;42;178164;18535;159629;0,1040;0,695;1,12;82193;12210;59709;7;0,176;11,00;0,4613
Buda;Justa;100;7;1,5100;42;101;42;178164;18535;159629;0,1040;0,695;1,12;82193;12210;59709;7;1,013;12,00;0,4613
Buda;Justa;100;8;1,5100;42;101;42;178164;18535;159629;0,1040;0,695;1,12;82193;12210;59709;7;1,719;13,00;0,4613
Buda;Justa;100;9;1,5100;42;101;42;178164;18535;159629;0,1040;0,695;1,12;82193;12210;59709;7;0,166;12,00;0,4613
Buda;Justa;100;10;1,5100;42;101;42;178164;18535;159629;0,1040;0,695;1,12;82193;12210;59709;7;0,159;12,00;0,4613
Buda;Cubica;100;1;1,5100;100;100;100;1000000;18437;981563;0,0184;0,695;1,12;57409;14294;35939;7;0,094;4,17;0,0574
Buda;Cubica;100;2;1,5100;100;100;100;1000000;18437;981563;0,0184;0,695;1,12;57409;14294;35939;7;0,091;5,72;0,0574
Buda;Cubica;100;3;1,5100;100;100;100;1000000;18437;981563;0,0184;0,695;1,12;57409;14294;35939;7;0,095;5,67;0,0574
Buda;Cubica;100;4;1,5100;100;100;100;1000000;18437;981563;0,0184;0,695;1,12;57409;14294;35939;7;0,119;5,67;0,0574
Buda;Cubica;100;5;1,5100;100;100;100;1000000;18437;981563;0,0184;0,695;1,12;57409;14294;35939;7;0,094;6,65;0,0574
Buda;Cubica;100;6;1,5100;100;100;100;1000000;18437;981563;0,0184;0,695;1,12;57409;14294;35939;7;0,926;6,65;0,0574
Buda;Cubica;100;7;1,5100;100;100;100;1000000;18437;981563;0,0184;0,695;1,12;57409;14294;35939;7;0,980;6,71;0,0574
Buda;Cubica;100;8;1,5100;100;100;100;1000000;18437;981563;0,0184;0,695;1,12;57409;14294;35939;7;0,843;6,65;0,0574
Buda;Cubica;100;9;1,5100;100;100;100;1000000;18437;981563;0,0184;0,695;1,12;57409;14294;35939;7;0,105;6,65;0,0574
Buda;Cubica;100;10;1,5100;100;100;100;1000000;18437;981563;0,0184;0,695;1,12;57409;14294;35939;7;0,109;6,65;0,0574
Buda;Justa;200;1;0,7550;84;201;83;1401372;74758;1326614;0,0533;5,132;5,04;383937;50830;285115;8;4,151;75,77;0,2740
Buda;Justa;200;2;0,7550;84;201;83;1401372;74758;1326614;0,0533;5,132;5,04;383937;50830;285115;8;4,192;79,08;0,2740
Buda;Justa;200;3;0,7550;84;201;83;1401372;74758;1326614;0,0533;5,132;5,04;383937;50830;285115;8;2,366;78,02;0,2740
Buda;Justa;200;4;0,7550;84;201;83;1401372;74758;1326614;0,0533;5,132;5,04;383937;50830;285115;8;1,368;77,00;0,2740
Buda;Justa;200;5;0,7550;84;201;83;1401372;74758;1326614;0,0533;5,132;5,04;383937;50830;285115;8;4,223;77,00;0,2740
Buda;Justa;200;6;0,7550;84;201;83;1401372;74758;1326614;0,0533;5,132;5,04;383937;50830;285115;8;4,148;76,98;0,2740
Buda;Justa;200;7;0,7550;84;201;83;1401372;74758;1326614;0,0533;5,132;5,04;383937;50830;285115;8;4,122;76,98;0,2740
Buda;Justa;200;8;0,7550;84;201;83;1401372;74758;1326614;0,0533;5,132;5,04;383937;50830;285115;8;1,515;76,91;0,2740
Buda;Justa;200;9;0,7550;84;201;83;1401372;74758;1326614;0,0533;5,132;5,04;383937;50830;285115;8;2,202;77,00;0,2740
Buda;Justa;200;10;0,7550;84;201;83;1401372;74758;1326614;0,0533;5,132;5,04;383937;50830;285115;8;4,181;77,00;0,2740
Buda;Cubica;200;1;0,7550;200;200;200;8000000;74611;7925389;0,0093;5,132;5,04;257961;62025;163691;8;1,945;38,19;0,0322
Buda;Cubica;200;2;0,7550;200;200;200;8000000;74611;7925389;0,0093;5,132;5,04;257961;62025;163691;8;1,316;41,48;0,0322
Buda;Cubica;200;3;0,7550;200;200;200;8000000;74611;7925389;0,0093;5,132;5,04;257961;62025;163691;8;0,552;41,56;0,0322
Buda;Cubica;200;4;0,7550;200;200;200;8000000;74611;7925389;0,0093;5,132;5,04;257961;62025;163691;8;2,734;42,53;0,0322
Buda;Cubica;200;5;0,7550;200;200;200;8000000;74611;7925389;0,0093;5,132;5,04;257961;62025;163691;8;0,555;42,66;0,0322
Buda;Cubica;200;6;0,7550;200;200;200;8000000;74611;7925389;0,0093;5,132;5,04;257961;62025;163691;8;3,638;42,53;0,0322
Buda;Cubica;200;7;0,7550;200;200;200;8000000;74611;7925389;0,0093;5,132;5,04;257961;62025;163691;8;0,563;42,53;0,0322
Buda;Cubica;200;8;0,7550;200;200;200;8000000;74611;7925389;0,0093;5,132;5,04;257961;62025;163691;8;2,257;42,53;0,0322
Buda;Cubica;200;9;0,7550;200;200;200;8000000;74611;7925389;0,0093;5,132;5,04;257961;62025;163691;8;0,983;42,53;0,0322
Buda;Cubica;200;10;0,7550;200;200;200;8000000;74611;7925389;0,0093;5,132;5,04;257961;62025;163691;8;0,998;42,53;0,0322
Buda;Justa;400;1;0,3775;165;401;166;10983390;298866;10684524;0,0272;21,055;6,75;1644321;205720;1233061;9;14,025;347,75;0,1497
Buda;Justa;400;2;0,3775;165;401;166;10983390;298866;10684524;0,0272;21,055;6,75;1644321;205720;1233061;9;10,583;342,22;0,1497
Buda;Justa;400;3;0,3775;165;401;166;10983390;298866;10684524;0,0272;21,055;6,75;1644321;205720;1233061;9;13,921;341,77;0,1497
Buda;Justa;400;4;0,3775;165;401;166;10983390;298866;10684524;0,0272;21,055;6,75;1644321;205720;1233061;9;12,657;339,23;0,1497
Buda;Justa;400;5;0,3775;165;401;166;10983390;298866;10684524;0,0272;21,055;6,75;1644321;205720;1233061;9;13,112;340,78;0,1497
